"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bacteria","Bacteria_none","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus","Salinicoccus siamensis"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Verticiella","Verticiella sediminum"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Castellaniella","Castellaniella hirudinis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Tsukamurellaceae","Tsukamurella","Tsukamurella hominis"
"Bacteria","Bacteria_none","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Fermentimonas","Fermentimonas caenicola"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Priestia","Priestia koreensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus canis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus rhodochrous"
"Bacteria","Bacteria_none","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Hanamia","Hanamia caeni"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Alteraurantiacibacter","Alteraurantiacibacter aestuarii"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Chelatococcaceae","Camelimonas","Camelimonas fluminis"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Paenochrobactrum","Paenochrobactrum glaciei"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Geodermatophilales","Geodermatophilaceae","Cumulibacter","Cumulibacter soli"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Turicimonas","Turicimonas muris"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus contaminans"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","Macrococcus bovicus"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Leucobacter","Leucobacter exalbidus"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Marinilactibacillus","Marinilactibacillus piezotolerans"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium gubbeenense"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus daejeonensis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Intrasporangiaceae","Janibacter","Janibacter hoylei"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium paraense"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Microbispora","Microbispora camponoti"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Intrasporangiaceae","Janibacter","Janibacter melonis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","Sporosarcina soli"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","Sporosarcina saromensis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Jonesiaceae","Flavimobilis","Flavimobilis marinus"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Pseudothauera","Pseudothauera nasutitermitis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis oceani"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium koreense"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus aestuarii"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus glycanilyticus"
"Bacteria","Bacteria_none","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Oceanimonas","Oceanimonas doudoroffii"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas formosensis"
"Bacteria","Bacteria_none","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","Erysipelatoclostridium ramosum"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium lubricantis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Intrasporangiaceae","Pedococcus","Pedococcus ginsenosidimutans"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Peptococcaceae","Desulforamulus","Desulforamulus aeronauticus"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium","[Eubacterium] tenue"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium samyangense"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Leucobacter","Leucobacter chromiiresistens"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Zhihengliuella","Zhihengliuella alba"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter niigatensis"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas jinjuensis"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes","Alcaligenes aquatilis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia halotolerans"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","Advenella kashmirensis"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Peptococcaceae","Phosphitispora","Phosphitispora fastidiosa"
"Bacteria","Bacteria_none","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter brantae"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Asaccharospora","Asaccharospora irregularis"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas parvus"
"Bacteria","Bacteria_none","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas azerbaijanica"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium luteolum"
"Bacteria","Bacteria_none","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas campisalis"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylocapsa","Methylocapsa aurea"
